"Paper ID","Manual Analysis","SZZ improved","TTV first part","TTV second part","Versioned","Repro data/env","Repro package"
2,"N","N","Y","N","N","Y","N"
3,"Y","N","Y","N","Y","N","N"
4,"Y","Y","N","Y","Y","N","N"
5,"N","N","Y","N","Y","Y","N"
9,"Y","N","Y","Y","Y","Y","N"
12,"Y","N","Y","Y","N","Y","Y"
13,"Y","N","N","N","Y","Y","N"
14,"N","N","N","N","Y","N","N"
16,"Y","N","Y","Y","Y","N","N"
17,"Y","N","N","N","Y","Y","N"
20,"Y","N","N","N","Y","Y","N"
22,"N","N","Y","N","Y","N","N"
24,"N","Y","N","N","Y","N","N"
25,"N","N","N","N","N","N","N"
29,"N","Y","N","N","N","N","Y"
30,"Y","Y","Y","N","N","Y","N"
31,"N","N","Y","N","N","Y","N"
37,"N","N","N","N","N","N","N"
39,"Y","Y","N","N","N","N","Y"
42,"Y","N","N","N","Y","N","Y"
43,"Y","N","Y","N","Y","Y","N"
44,"N","N","Y","Y","N","Y","N"
45,"Y","N","N","N","Y","N","N"
46,"Y","Y","Y","Y","Y","N","N"
48,"N","N","Y","N","N","N","N"
49,"Y","Y","N","N","N","N","N"
51,"N","N","Y","N","Y","Y","N"
52,"Y","N","Y","Y","Y","N","N"
54,"Y","N","N","N","Y","N","Y"
58,"Y","N","N","N","Y","N","N"
59,"N","Y","Y","Y","N","N","N"
61,"Y","N","N","N","Y","N","Y"
62,"N","N","Y","Y","N","Y","Y"
63,"N","N","Y","N","N","Y","Y"
65,"N","N","N","N","N","Y","N"
66,"N","N","Y","N","N","Y","N"
67,"N","N","Y","N","Y","Y","N"
70,"N","N","Y","Y","N","Y","N"
73,"N","N","Y","Y","N","Y","Y"
76,"N","N","N","N","Y","N","N"
77,"N","N","Y","N","Y","N","N"
78,"Y","N","N","N","Y","N","N"
82,"N","N","Y","Y","Y","Y","Y"
83,"N","N","N","N","Y","N","N"
84,"N","N","N","N","Y","N","N"
85,"N","N","N","N","N","N","Y"
86,"N","N","N","N","N","N","N"
87,"N","Y","Y","N","N","Y","Y"
92,"Y","Y","N","Y","N","Y","N"
100,"N","Y","Y","N","N","N","N"
106,"Y","N","Y","N","N","N","N"
114,"N","N","N","N","N","N","N"
119,"N","N","Y","N","N","Y","N"
123,"N","N","N","N","Y","N","N"
124,"Y","N","N","N","N","Y","N"
125,"N","N","N","N","Y","Y","N"
127,"Y","N","Y","Y","Y","N","N"
128,"N","N","Y","Y","Y","Y","Y"
130,"Y","N","Y","Y","N","Y","N"
136,"Y","N","N","N","N","Y","N"
137,"Y","N","Y","N","N","Y","N"
138,"Y","N","Y","N","Y","N","N"
140,"N","N","N","N","Y","Y","N"
142,"Y","N","N","N","Y","Y","Y"
145,"Y","N","Y","Y","N","Y","N"
147,"Y","N","N","N","Y","N","Y"
152,"N","N","N","N","Y","Y","N"
153,"N","N","N","N","Y","Y","Y"
154,"N","N","N","N","N","N","N"
177,"N","N","N","Y","Y","N","N"
179,"Y","N","N","N","Y","N","Y"
182,"N","N","Y","N","N","N","N"
181,"Y","Y","Y","Y","Y","Y","Y"
184,"Y","N","N","N","Y","N","N"
200,"Y","Y","Y","Y","Y","Y","N"
203,"Y","Y","N","N","N","N","N"
204,"N","N","N","N","Y","Y","N"
213,"Y","N","Y","N","Y","N","N"
218,"N","N","Y","Y","N","Y","N"
220,"N","N","Y","N","N","Y","N"
222,"N","N","N","N","Y","Y","N"
223,"N","N","N","N","Y","N","N"
224,"N","N","N","N","N","N","N"
226,"N","Y","N","N","Y","N","N"
228,"Y","N","N","N","Y","N","Y"
232,"N","N","N","N","Y","Y","N"
235,"N","N","N","N","Y","N","Y"
237,"N","N","Y","N","Y","Y","N"
238,"Y","N","N","N","Y","Y","N"
242,"N","N","N","N","Y","N","N"
244,"N","N","N","N","N","N","N"
251,"Y","Y","N","N","Y","N","N"
253,"N","N","N","N","Y","N","Y"
255,"N","N","Y","N","N","Y","N"
262,"N","N","N","N","Y","N","N"
265,"Y","N","Y","Y","N","Y","Y"
268,"Y","N","N","N","N","Y","Y"
270,"Y","N","N","Y","N","Y","N"
271,"N","N","Y","Y","N","Y","N"
272,"Y","Y","N","N","Y","Y","N"
275,"Y","Y","Y","Y","Y","N","N"
277,"Y","N","N","Y","N","Y","Y"
282,"N","N","N","N","Y","N","N"
283,"Y","N","N","N","Y","N","Y"
291,"N","N","N","N","N","Y","N"
293,"N","N","Y","Y","Y","Y","N"
294,"N","N","N","N","Y","Y","Y"
295,"Y","N","N","N","Y","N","N"
304,"N","N","Y","N","N","N","N"
305,"Y","N","N","N","Y","N","N"
312,"N","N","N","N","Y","N","N"
315,"Y","N","Y","Y","N","Y","N"
317,"Y","N","Y","N","Y","N","N"
318,"N","N","N","N","Y","Y","N"
322,"N","N","N","N","N","Y","Y"
318,"Y","Y","Y","Y","N","N","N"
330,"N","N","Y","N","N","Y","N"
331,"Y","N","N","N","N","Y","Y"
332,"Y","Y","Y","N","N","N","N"
334,"N","N","N","N","N","N","N"
336,"N","N","N","Y","Y","N","N"
344,"N","N","N","N","Y","Y","Y"
345,"N","N","N","N","Y","Y","Y"
346,"Y","N","N","Y","N","N","N"
349,"N","N","N","N","Y","Y","N"
350,"N","N","N","N","N","Y","Y"
355,"Y","N","N","N","N","N","Y"
361,"Y","N","Y","Y","Y","Y","N"
363,"N","N","Y","N","N","Y","N"
365,"Y","N","N","N","N","Y","N"
368,"N","Y","Y","N","Y","Y","N"
370,"Y","N","Y","N","N","N","N"
374,"Y","Y","Y","Y","N","N","N"
376,"Y","Y","Y","N","Y","Y","N"
378,"N","N","N","N","N","Y","N"
380,"N","N","Y","N","N","N","N"
381,"Y","Y","Y","N","Y","N","N"
382,"N","N","N","N","Y","N","Y"
389,"Y","N","N","Y","N","Y","N"
390,"N","N","N","N","N","Y","N"
391,"N","N","N","N","Y","N","N"
393,"Y","N","Y","N","Y","Y","N"
394,"N","N","N","N","N","Y","N"
395,"N","N","N","N","Y","N","N"
400,"N","N","N","N","N","Y","N"
404,"N","N","N","N","Y","Y","N"
405,"Y","N","Y","Y","N","Y","N"
408,"Y","N","Y","N","Y","Y","N"
409,"Y","N","Y","Y","N","Y","N"
410,"Y","N","N","N","N","N","N"
411,"N","Y","Y","Y","N","Y","Y"
412,"Y","N","Y","Y","Y","Y","Y"
414,"N","N","Y","N","Y","Y","N"
415,"N","N","Y","N","Y","Y","N"
416,"Y","Y","N","N","N","Y","N"
417,"Y","N","Y","N","N","Y","N"
424,"N","N","N","N","N","N","N"
425,"N","N","N","N","Y","Y","N"
426,"N","N","N","N","Y","Y","N"
428,"N","N","Y","Y","N","Y","N"
433,"Y","N","Y","N","Y","N","Y"
435,"Y","Y","N","N","Y","N","N"
440,"Y","N","N","N","Y","N","Y"
442,"Y","Y","N","Y","Y","N","N"
444,"Y","N","N","N","N","N","Y"
445,"Y","N","N","N","N","N","Y"
447,"N","N","N","N","Y","N","N"
452,"Y","Y","N","N","N","Y","N"
471,"N","N","Y","N","N","Y","Y"
472,"Y","N","N","N","Y","N","N"
478,"N","N","Y","N","Y","N","N"
481,"Y","N","N","N","Y","N","N"
483,"Y","N","Y","N","Y","Y","N"
486,"N","Y","Y","N","N","Y","N"
489,"Y","N","Y","Y","Y","Y","N"
