Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Oyetoyan, Tosin Daniel; Conradi, Reidar; Cruzes, Daniela Soares; ",Criticality of defects in cyclic dependent components,"Source Code Analysis and Manipulation (SCAM), 2013 IEEE 13th International Working Conference on",,,21-30,2013,IEEE
"Ayewah, Nathaniel; Pugh, William; ",Learning from defect removals,2009 6th IEEE International Working Conference on Mining Software Repositories,,,179-182,2009,IEEE
"Meneely, Andrew; Srinivasan, Harshavardhan; Musa, Ayemi; Tejeda, Alberto Rodríguez; Mokary, Matthew; Spates, Brian; ",When a patch goes bad: Exploring the properties of vulnerability-contributing commits,2013 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,,,65-74,2013,IEEE
"Tantithamthavorn, Chakkrit; Teekavanich, Rattamont; Ihara, Akinori; Matsumoto, Ken-ichi; ",Mining A change history to quickly identify bug locations: A case study of the Eclipse project,"Software Reliability Engineering Workshops (ISSREW), 2013 IEEE International Symposium on",,,108-113,2013,IEEE
"Mauczka, Andreas; Schanes, Christian; Fankhauser, Florian; Bernhart, Mario; Grechenig, Thomas; ",Mining security changes in FreeBSD,2010 7th IEEE Working Conference on Mining Software Repositories (MSR 2010),,,90-93,2010,IEEE
"Romo, Bilyaminu Auwal; Capiluppi, Andrea; Hall, Tracy; ",Filling the gaps of development logs and bug issue data,Proceedings of The International Symposium on Open Collaboration,,,8,2014,ACM
"李宁; 李战怀; ",软件缺陷数据处理研究综述,计算机科学,36,8,21-25,2009,
"Wang, Shaohua; Khomh, Foutse; Zou, Ying; ",Improving bug management using correlations in crash reports,Empirical Software Engineering,21,2,337-367,2016,Springer
"Khomh, Foutse; Adams, Bram; Dhaliwal, Tejinder; Zou, Ying; ",Understanding the impact of rapid releases on software quality,Empirical Software Engineering,20,2,336-373,2015,Springer
"Canfora, Gerardo; Lucia, Andrea De; Penta, Massimiliano Di; Oliveto, Rocco; Panichella, Annibale; Panichella, Sebastiano; ",Defect prediction as a multiobjective optimization problem,"Software Testing, Verification and Reliability",25,4,426-459,2015,Wiley Online Library
"Massacci, Fabio; Nguyen, Viet Hung; ",An empirical methodology to evaluate vulnerability discovery models,IEEE Transactions on Software Engineering,40,12,1147-1162,2014,IEEE
"Hall, Tracy; Bowes, David; Liebchen, Gernot; Wernick, Paul; ",Evaluating three approaches to extracting fault data from software change repositories,International Conference on Product Focused Software Process Improvement,,,107-115,2010,Springer
"VanHilst, Michael; Huang, Shihong; Lindsay, Hugh; ",Process analysis of a waterfall project using repository data,International Journal of Computers and Applications,33,1,49-56,2011,Taylor & Francis
"Liang, Guangtai; Wang, Qianxiang; Xie, Tao; Mei, Hong; ",Inferring project-specific bug patterns for detecting sibling bugs,Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,,,565-575,2013,ACM
"Jung, Yungbum; Oh, Hakjoo; Yi, Kwangkeun; ",Identifying static analysis techniques for finding non-fix hunks in fix revisions,Proceedings of the ACM first international workshop on Data-intensive software management and mining,,,13-18,2009,ACM
"Kawrykow, David; ",Enabling precise interpretations of software change data,,,,,2011,McGill University
"Sun, Xiaobing; Li, Bin; Li, Yun; Chen, Ying; ",What information in software historical repositories do we need to support software maintenance tasks? an approach based on topic model,Computer and Information Science,,,27-37,2015,Springer
"Jaafar, Fehmi; Guéhéneuc, Yann-Gaël; Hamel, Sylvie; Khomh, Foutse; ",Mining the relationship between anti-patterns dependencies and fault-proneness.,WCRE,,,351-360,2013,
"Nugroho, Ariadi; Chaudron, Michel RV; ",The impact of UML modeling on defect density and defect resolution time in a proprietary system,Empirical Software Engineering,19,4,926-954,2014,Springer
"Mockus, Audris; ",Domain-specific defect models,"International Workshop on Defects in Large Software System, Seattle, WA",,,,2008,
"Vivanco, Rodrigo; ",Improving predictive models of software quality using search-based metric selection and decision trees,,,,,2010,University of Manitoba
"Kim, Youngsoo; Jiang, Lingxiao; ",The Learning Curves in Open-Source Software (OSS) Development Network,Proceedings of the Sixteenth International Conference on Electronic Commerce,,,41,2014,ACM
"BOEHME, MARCEL; ",Automated Regression Testing and Verification of Complex Code Changes,,,,,2014,
"Çaglayan, Bora; Bener, Ayşe Başar; ",Effect of developer collaboration activity on software quality in two large scale projects,Journal of Systems and Software,118,,288-296,2016,Elsevier
"Poley, Henk; ",The Promises and Perils of Mining Ohloh. net,,,,,,
"Ruohonen, Jukka; Hyrynsalmi, Sami; Leppänen, Ville; ",Time series trends in software evolution,Journal of Software: Evolution and Process,27,12,990-1015,2015,Wiley Online Library
"Davies, Steven; Roper, Marc; Wood, Murray; ",Strathprints Institutional Repository,,,,,2011,
"Tóth, Zoltán; Gyimesi, Péter; Ferenc, Rudolf; ",A Public Bug Database of GitHub Projects and Its Application in Bug Prediction,International Conference on Computational Science and Its Applications,,,625-638,2016,Springer
"Hora, André Cavalcante; ",Assessing and Improving Rules to Support Software Evolution,,,,,2014,Université Lille 1-Sciences et Technologies
"Yang, Cheng-Zen; Chen, Xiang; Fan-Chiang, Chin-Sung; ",Exploiting Module Locality to Improve Software Fault Prediction,"Parallel and Distributed Processing with Applications Workshops (ISPAW), 2011 Ninth IEEE International Symposium on",,,342-347,2011,IEEE
"Stojanov, Zeljko; Dobrilovic, Dalibor; Stojanov, Jelena; Jevtic, Vesna; ",Estimating Software Maintenance Effort by Analyzing Historical Data in a Very Small Software Company,"Scientific Bulletin of The “Politehnica” University of Timişoara, Transactions on Automatic Control and Computer Science",58,2,131-138,2013,
"Mauša, Goran; ",Improvement of Software Defect Prediction Methods Based On Machine Learning,,,,,2016,"Fakultet elektrotehnike i računarstva, Sveučilište u Zagrebu"
"Kagdi, Huzefa H; ",Towards Source Code Aware Mining of Software Repositories,,,,,,
"Illes-Seifert, Timea Monika; ",Justified test foci definition an empirical approach,,,,,2011,
"Venkatasubramanyam, Radhika D; Gupta, Shrinath; ",An automated approach to detect violations with high confidence in incremental code using a learning system,Companion Proceedings of the 36th International Conference on Software Engineering,,,472-475,2014,ACM
"Fejzer, Mikołaj; Wojtyna, Michał; Burzańska, Marta; Wiśniewski, Piotr; Stencel, Krzysztof; ",Supporting Code Review by Automatic Detection of Potentially Buggy Changes,"International Conference: Beyond Databases, Architectures and Structures",,,473-482,2015,Springer
"Do, Thanh D; ",Towards Reliable Cloud Systems,,,,,2014,University of Wisconsin-Madison
"Shippey, Thomas; Hall, Tracy; Counsell, Steve; Bowes, David; ",So You Need More Method Level Datasets for Your Software Defect Prediction?: Voilà!,Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,,,12,2016,ACM
"Kagdi, Huzefa; Maletic, Jonathan I; ",Mining Traceability Links,,,,,,
"Martinsson, Christoffer; ",Requirements Specifications Simplified and Adapted,,,,,2008,
"Zhang, Feng; ",Towards Generalizing Defect Prediction Models,,,,,2016,Canadian theses
"Jongyindee, Anakorn; Ohira, Masao; Ihara, Akinori; Matsumoto, Ken-ichi; ",A Case Study of Committers’ Activities on the Bug Fixing Process in the Eclipse Project,International Workshop on Empirical Software Engineering in Practice 2011 (IWESEP 2011),,,9,,
"Mizuno, Osamu; Hata, Hideaki; ",A metric to detect fault-prone software modules using text filtering,International Journal of Reliability and Safety,7,1,17-31,2013,Inderscience Publishers Ltd
"Bird, Christian; Nagappan, Nachiappan; Murphy, Brendan; Gall, Harald; Devanbu, Premkumar; ","An Analysis of the Effect of Code Ownership on Software Quality across Windows, Eclipse, and Firefox",,,,,,
"Cook, Devin; Choe, Yung Ryn; Hamilton Jr, John A; ",Finding bugs in source code using commonly available development metadata,8th Workshop on Cyber Security Experimentation and Test (CSET 15),,,,2015,
"IZQUIERDO-CORTAZAR, Daniel; ",Software Engineering Artifact in Software Development Process-Linkage Between Issues and Code Review Processes,"New Trends in Software Methodologies, Tools and Techniques: Proceedings of the Fifteenth SoMeT_16",286,,115,2016,IOS Press
"Monden, Akito; Keung, Jacky; Morisaki, Shuji; Kamei, Yasutaka; Matsumoto, Ken-ichi; ",A Heuristic Rule Reduction Approach to Software Fault-proneness Prediction,2012 19th Asia-Pacific Software Engineering Conference,1,,838-847,2012,IEEE
"Yang, Haoyu; Wang, Chen; Shi, Qingkai; Feng, Yang; Chen, Zhenyu; ",Bug Inducing Analysis to Prevent Fault Prone Bug Fixes.,SEKE,,,620-625,2014,
"Thompson, C Albert; Murphy, Gail C; Palyart, Marc; Gašparič, Marko; ",How software developers use work breakdown relationships in issue repositories,Proceedings of the 13th International Workshop on Mining Software Repositories,,,281-285,2016,ACM
"Hirohisa, AMAN; Amasaki, Sousuke; Sasaki, Takashi; Kawahara, Minoru; ",Lines of Comments as a Noteworthy Metric for Analyzing Fault-Proneness in Methods,IEICE TRANSACTIONS on Information and Systems,98,12,2218-2228,2015,"The Institute of Electronics, Information and Communication Engineers"
"Zhang, Yi; Whitehead, E; Kim, Sunghun; ",Classifying Software Changes: Clean or Buggy?,,,,,2008,the IEEE Computer Society
"Melo, Jean Carlos de Carvalho; ",Modular Reasoning For Software Product Lines With Emergent Feature Interfaces,,,,,2014,Universidade Federal de Pernambuco
"Ray, Baishakhi; ",Analysis of cross-system porting and porting errors in software projects,,,,,2013,
"Rodriguez, Gema; Gonzalez-Barahona, Jesus M; Robles, Gregorio; Sekitoleko, Nelson; Dalipaj, Dorealda; ",BugTracking: A tool to assist in the identification of bug reports,,,,,,
"Bomersbach, Agnieszka; ",Data Mining of Source Code Changes,,,,,,
"Thung, Ferdian; Lo, David; Jiang, Lingxiao; ",Diffusion of Software Features: An Exploratory Study,2012 19th Asia-Pacific Software Engineering Conference,1,,368-373,2012,IEEE
"Thung, Ferdian; Lo, David; Jiang, Lingxiao; Rahman, Foyzur; Devanbu, Premkumar T; ",To what extent could we detect field defects? An extended empirical study of false negatives in static bug-finding tools,Automated Software Engineering,22,4,561-602,2015,Springer
"Pinhey, Graham; ",Bug-Introducing Changes: A Case Study with Chrome,,,,,,
"Rana, Rakesh; Staron, Miroslaw; ",When Do Software Issues and Bugs get Reported in Large Open Source Software Project?,,,,,,
"David, Zhongxian Gu Earl T Barr; Su, J Hamilton Zhendong; ",Has the Bug Really Been Fixed?,,,,,2010,
"Tufano, Michele; Bavota, Gabriele; Poshyvanyk, Denys; Di Penta, Massimiliano; Oliveto, Rocco; De Lucia, Andrea; ",An empirical study on developer‐related factors characterizing fix‐inducing commits,Journal of Software: Evolution and Process,,,,2016,Wiley Online Library
"Hassan, Ahmed E; ",The Impact of Classifier Configuration and Classifier Combination on Bug Localization,,,,,,
"Home, FEB; Hall, Tracy; Bowes, David; Counsell, Steve; Shippey, Thomas; Petric, Jean; ",Home Research,,,,,,
"Cavezza, Davide Giacomo; Pietrantuono, Roberto; Russo, Stefano; ",Performance of defect prediction in rapidly evolving software,"Release Engineering (RELENG), 2015 IEEE/ACM 3rd International Workshop on",,,8-11,2015,IEEE
"Fujiwara, Shin; Hata, Hideaki; Monden, Akito; Matsumoto, Kenichi; ",Bug report recommendation for code inspection,"Software Analytics (SWAN), 2015 IEEE 1st International Workshop on",,,9-12,2015,IEEE
"Yamashita, Kazuhiro; Huang, Changyun; Nagappan, Meiyappan; Kamei, Yasutaka; Mockus, Audris; Hassan, Ahmed E; Ubayashi, Naoyasu; ",Thresholds for Size and Complexity Metrics: A Case Study from the Perspective of Defect Density,"Software Quality, Reliability and Security (QRS), 2016 IEEE International Conference on",,,191-201,2016,IEEE
"Jiang, Lu; Zhang, Zhiyi; Zhao, Zhihong; ",AST Based JAVA Software Evolution Analysis,"Web Information System and Application Conference (WISA), 2013 10th",,,180-183,2013,IEEE
"Yuan, Zi; Yu, Lili; Liu, Chao; ",Bug Prediction for Fine-Grained Source Code Changes.,SEKE,,,381-387,2013,
"da Costa, Daniel Alencar; Kulesza, Uirá; Aranha, Eduardo; Coelho, Roberta; ",Unveiling developers contributions behind code commits: an exploratory study,Proceedings of the 29th Annual ACM Symposium on Applied Computing,,,1152-1157,2014,ACM
"Bettenburg, Nicolas; Adams, Bram; Hassan, Ahmed E; Smidt, Michel; ",A Lightweight Approach to Uncover Technical Information in Unstructured Data,,,,,,Citeseer
"Dumitras, Tudor; Narasimhan, Priya; Tilevich, Eli; ",To Upgrade or Not to Upgrade,,,,,2010,
"Yang, Yibiao; Zhou, Yuming; Liu, Jinping; Zhao, Yangyang; Lu, Hongmin; Xu, Lei; Xu, Baowen; Leung, Hareton; ",Effort-aware just-in-time defect prediction: simple unsupervised models could be better than supervised models,Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering,,,157-168,2016,ACM
"Elmishali, Amir; Stern, Roni; Kalech, Meir; ",Data-Augmented Software Diagnosis,,,,,,
"Syer, Mark D; Adams, Bram; Hassan, Ahmed E; ",On the Use of Survival Analysis for Defect Modelling: A Case Study of the Eclipse Project,,,,,,
"Ferzund, Javed; Ahsan, Syed Nadeem; Wotawa, Franz; ",Bug-Inducing Language Constructs,2009 16th Working Conference on Reverse Engineering,,,155-159,2009,IEEE
"Kouroshfar, Ehsan; ",An Empirical Study of the Interplay between Architecture and Software Quality using Evolutionary History of Software,,,,,2016,George Mason University
"Mauša, Goran; Grbac, Tihana Galinac; Bašić, Bojana Dalbelo; ",A Systematic Data Collection Procedure for Software Defect Prediction,Computer Science and Information Systems,,Online first,1-24,2016,
"Hosseini, Seyedrebvar; Turhan, Burak; Mäntylä, Mika; ",Search Based Training Data Selection For Cross Project Defect Prediction,Proceedings of the The 12th International Conference on Predictive Models and Data Analytics in Software Engineering,,,3,2016,ACM
"Yu, Yue; Vasilescu, Bogdan; Wang, Huaimin; Filkov, Vladimir; Devanbu, Premkumar; ",Initial and Eventual Software Quality Relating to Continuous Integration in GitHub,arXiv preprint arXiv:1606.00521,,,,2016,
"Miura, Keisuke; McIntosh, Shane; Kamei, Yasutaka; Hassan, Ahmed E; Ubayashi, Naoyasu; ",The Impact of Task Granularity on Co-evolution Analyses,Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,,,47,2016,ACM
"Di Nucci, Dario; Palomba, Fabio; Siravo, Sandro; Bavota, Gabriele; Oliveto, Rocco; De Lucia, Andrea; ",On the role of developer's scattered changes in bug prediction,"Software Maintenance and Evolution (ICSME), 2015 IEEE International Conference on",,,241-250,2015,IEEE
"Taipale, Taneli; ",IMPROVING SOFTWARE QUALITY WITH SOFTWARE ERROR PREDICTION,,,,,2015,
"Mori, Keita; Mizuno, Osamu; ",An Implementation of Just-in-Time Fault-Prone Prediction Technique Using Text Classifier,"Computer Software and Applications Conference (COMPSAC), 2015 IEEE 39th Annual",3,,609-612,2015,IEEE
"Bowes, David; Hall, Tracy; Harman, Mark; Jia, Yue; Sarro, Federica; Wu, Fan; ",Mutation-Aware Fault Prediction,,,,,,
"Zimmermann, Thomas; ",Learning from Project History to Support Programmers.,GI Jahrestagung (1),,,387-390,2005,
"Guerrouj, Latifa; Kermansaravi, Zeinab; Arnaoudova, Venera; Fung, Benjamin CM; Khomh, Foutse; Antoniol, Giuliano; Guéhéneuc, Yann-Gaël; ",Investigating the relation between lexical smells and change-and fault-proneness: an empirical study,Software Quality Journal,,,1-30,,Springer
"Shivaji, Shivkumar; ",DOCTOR OF PHILOSOPHY in COMPUTER SCIENCE,,,,,2013,Citeseer
"Ma, David; ",Are Developers Predictive of Defects?,Applied Machine Learning,,,70,2009,
"Wang, Linlin; ",Implementation and Evaluation of an Automatic Recommender for Integration,,,,,,
"Amann, Sven; Beyer, Stefanie; Kevic, Katja; Gall, Harald; ","Software Mining Studies: Goals, Approaches, Artifacts, and Replicability",Software Engineering,,,121-158,2015,Springer
"Johnson, Steven; Welch, Zach; ",Bad Commit Smells,,,,,2013,Citeseer
"Glinz, Martin; ",Software Quality,,,,,2014,
"Dai, Meixi; Shen, Beijun; Zhang, Tao; Zhao, Min; ",Impact of consecutive changes on later file versions,Proceedings of the 2014 3rd International Workshop on Evidential Assessment of Software Technologies,,,17-24,2014,ACM
"MUJTABA, GHULAM; MAHMOOD, DR TARIQ; NASIR, ZAFAR; ",A QUALITATIVE APPROACH TO DEFECT FIXATION IN SOFTWARE MAINTENANCE,,,,,,
"Chanchal, Muhammad Asaduzzaman Michael C Bullock; Schneider, K Roy Kevin A; ",Bug Introducing Changes: A Study with Android,,,,,,
"Prechelt, Lutz; Pepper, Alexander; ",bflinks: Reliable Bugfix links via bidirectional references and tuned heuristics,International Scholarly Research Notices,2014,,,2014,Hindawi Publishing Corporation
"Jongyindee, Anakorn; Ohira, Masao; Ihara, Akinori; Matsumoto, Ken-ichi; ",Good or Bad Committers?––A Case Study of Committer's Activities on the Eclipse's Bug Fixing Process,IEICE TRANSACTIONS on Information and Systems,95,9,2202-2210,2012,"The Institute of Electronics, Information and Communication Engineers"
"Gupta, Varuna; Ganeshan, N; Singhal, Tarun Kumar; ",Determining the root causes of various software bugs through software metrics,"Computing for Sustainable Global Development (INDIACom), 2015 2nd International Conference on",,,1211-1215,2015,IEEE
"Wen, Ming; Wu, Rongxin; Cheung, Shing-Chi; ",Locus: locating bugs from software changes,Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering,,,262-273,2016,ACM
"Князев, Евгений Геннадьевич; ",Автоматизированная классификация изменений исходного кода на основе кластеризации метрик в процессе разработки программного обеспечения,,,,,2009,Диссертация на соискание ученой степени кандидата технических наук
"Lischkowitz, Christoph; ",Erweiterung von BugzillaMetrics zur Auswertung von Daten aus Versionskontrollsystemen,,,,,2008,"Diplomarbeit, RWTH Aachen University"
"王辉; 杜庆峰; ",基于软件信息库挖掘的软件缺陷预测方法,计算机工程与设计,33,8,3094-3098,2012,
"Jureczko, Marian; ",Metody zarządzania zapewnianiem jakości oprogramowania wykorzystujące modele predykcji defektów,"Dysertacja doktorska, Politechnika Wrocławska, Wrocław",,,,2011,
"von Luxburg, Leonie; Fischer, Ulrike; Dreschler, Ingrid; ",Extracting Evidence of a Software Project Extrayendo Evidencias de un Proyecto Software,,,,,2015,
"Cao, Yaxin; ","Investigating the Impact of Personal, Temporal and Participation Factors on Code Review Quality",,,,,2015,
"Ohira, Masao; Koyama, Kiwako; Ihara, Akinori; Matsumoto, Shinsuke; Kamei, Yasutaka; Matsumoto, Ken-ichi; ",A Time-Lag Analysis toward Improving the Efficiency of Communications among OSS Developers,Supporting Knowledge Collaboration in Software Development,,,49,2009,Citeseer
"Bettenburg, Nicolas; ",Studying the Impact of Developer Communication on the Quality and Evolution of a Software System,,,,,2014,Queen’s University
"Green, Pamela Dilys; ",Extracting group relationships within changing software using text analysis,,,,,2013,University of Hertfordshire
"Luijten, BJH; ",The Inﬂuence of Software Maintainability on Issue Handling,,,,,2010,"TU Delft, Delft University of Technology"
"Chen, Tse-Hsun; Shang, Weiyi; Nagappan, Meiyappan; Hassan, Ahmed E; Thomas, Stephen W; ",Topic-based software defect explanation,Journal of Systems and Software,,,,2016,Elsevier
"Taylor, Quinn C; ",Analysis and Characterization of Author Contribution Patterns in Open Source Software Development,,,,,2012,Brigham Young University
"Gawęda, Tomasz; Nestorowicz, Ewa; Wołk, Oskar; Madeyski, Lech; Majchrzak, Marek; ",How to Improve Linking Between Issues and Commits for the Sake of Software Defect Prediction?,,,,,,
"Demir, Melih; ",Predicting Component Failures at Early Design Time,,,,,2006,Saarland University
"Hindle, Abram; ",Software Process Recovery,,,,,2009,
"Alhindawi, Nouh Talal; ",Supporting Source Code Comprehension During Software Evolution and Maintenance,,,,,2013,Kent State University
"Inozemtseva, Laura; ",Understanding the software fault introduction process,2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,2,,843-846,2015,IEEE
"Nguyen, Viet Hung; ",THE EVOLUTION OF SOFTWARE VULNERABILITIES,,,,,,
"Anquetil, Nicolas; ",PREDICTING SOFTWARE DEFECTS WITH CAUSALITY TESTS,,,,,2013,
"Negara, Stanislav; ",Towards a change-oriented programming environment,,,,,2013,University of Illinois at Urbana-Champaign
"López, Lara; Trujillo, Alejandra; Pezuela, Clara; Ortega, Felipe; Panagiotou, Dimitris; Leban, Gregor; ",As-Is and To-Be Analysis,Materials Performance,,,,2012,
"Mukala, Patrick; Cerone, Antonio; Turini, Franco; ",Process mining event logs from FLOSS data: state of the art and perspectives,International Conference on Software Engineering and Formal Methods,,,182-198,2014,Springer
"Inozemtseva, Laura; Hemmati, Hadi; Holmes, Reid; ",Using fault history to improve mutation reduction,Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,,,639-642,2013,ACM
"Neuhaus, Stephan; ",Repeating the past experimental and empirical methods in system and software security,,,,,2010,
"Duala-Ekoko, Ekwa; Robillard, Martin P; ",A detailed examination of the correlation between imports and failure-proneness of software components,Proceedings of the 2009 3rd International Symposium on Empirical Software Engineering and Measurement,,,34-43,2009,IEEE Computer Society
"Schermann, Gerald; Brandtner, Martin; Panichella, Sebastiano; Leitner, Philipp; Gall, Harald; ",Discovering loners and phantoms in commit and issue data,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,,,4-14,2015,IEEE Press
"Ray, Baishakhi; Hellendoorn, Vincent; Godhane, Saheel; Tu, Zhaopeng; Bacchelli, Alberto; Devanbu, Premkumar; ",On the naturalness of buggy code,Proceedings of the 38th International Conference on Software Engineering,,,428-439,2016,ACM
"Shippey, Thomas Joshua; ",Exploiting Abstract Syntax Trees to Locate Software Defects,,,,,2015,University of Hertfordshire
"Devanbu, Prem; Zimmermann, Thomas; Bird, Christian; ",Belief & evidence in empirical software engineering,Proceedings of the 38th International Conference on Software Engineering,,,108-119,2016,ACM
"Tourani, Parastou; Adams, Bram; ",The Impact of Human Discussions on Just-in-Time Quality Assurance: An Empirical Study on OpenStack and Eclipse,"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",1,,189-200,2016,IEEE
"Edwards, Alex; Tucker, Sean; Worms, Sébastien; Vaidya, Rahul; Demsky, Brian; ",AFID: an automated fault identification tool,Proceedings of the 2008 international symposium on Software testing and analysis,,,179-188,2008,ACM
"Yu, Yue; Yin, Gang; Wang, Tao; Yang, Cheng; Wang, Huaimin; ",Determinants of pull-based development in the context of continuous integration,Science China Information Sciences,59,8,080104,2016,Springer
"Xia, Xin; Shihab, Emad; Kamei, Yasutaka; Lo, David; Wang, Xinyu; ",Predicting crashing releases of mobile applications,Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,,,29,2016,ACM
